actor,degree,betweenness,eigenvector,closeness,pagerank
Shaju K.S.,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Rosshan Andrrews,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
Prithviraj Sukumaran,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
Nisthar Sait,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Nandu Vijay Krishna,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Sharafudheen,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Sandhya,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Dileep,0.04,0.0,0.11805526418231994,0.2767527675276753,0.003847994826066648
Rony David,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Shraddha Das,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Bhupal,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Aporup Acharya,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Ria Siara,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Sreejith Ravi,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Raju Sundaram,0.04,0.0,0.007446091362324895,0.19599303135888502,0.003967190593579837
Nilja K. Baby,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Biju Menon,0.04,0.0,0.11098338976921629,0.23219814241486067,0.0039033747358056953
S.P. Sreekumar,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
Tejaswini Lonari,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Dheeraj Denny,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Lizzie Antony,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Johny Antony,0.04,0.0,0.11805526418231994,0.2767527675276753,0.003847994826066648
RJ Balaji,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
Soubin Shahir,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Madhusudhan Rao,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Baby Akshara,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Jaffer Idukki,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Mahesh Babu,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
Faheem,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Govind Padmasoorya,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Mahesh Achanta,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Diljit Gore,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Kalairasan,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Azees Nedumangad,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Riyas Narmakala,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
James Eliya,0.04,0.0,0.12676892773088927,0.24245689655172414,0.003842267177843873
Jinu Joseph,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
P. Balachandran,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Priyadarshi Pulikonda,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
Venkat Sundar,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Balaji,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Allu Sirish,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Shivaji Guruvayoor,0.04,0.0,0.11098338976921632,0.23219814241486067,0.0039033747358056957
Jude Anthany Joseph,0.04,0.0,0.11805526418231994,0.2767527675276753,0.003847994826066648
Soundar,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Sulagna Panigrahi,0.04,0.0,0.007446091362324895,0.19599303135888502,0.003967190593579837
Jasnya Jayadeesh,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Bhanu Prakash,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Sharad K.R.G.,0.04,0.0,0.007446091362324895,0.19599303135888502,0.003967190593579837
Thennal Abhilash,0.04,0.0,0.11805526418231994,0.2767527675276753,0.003847994826066648
Azhagam Perumal,0.04,0.0,0.007446091362324895,0.19599303135888502,0.003967190593579837
Kalabhavan Shajohn,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Anand Manmadhan,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Sasi Kalinga,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Johny,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Smruthi Venkat,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Charlie,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Yehia Kader,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Amala Paul,0.04,0.0,0.11098338976921632,0.23219814241486067,0.0039033747358056957
Madhu,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Dinesh Babu,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Assim Jamal,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
Amith Chakalakkal,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Mohan,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Bitto Davis,0.04,0.0,0.12676892773088927,0.24245689655172414,0.003842267177843873
Veena Nair,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Gibin Gopinath,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Indrajith Sukumaran,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Rachana Maurya,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Amina Nijam,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Sona Nair,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Sphadikam George,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Sibiraj,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Aadarsh Balakrishna,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Saiju Kurup,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
Sayaji Shinde,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
Arun Cherukavil,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Pandi,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Boban Alumoodan,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
'Ganja' Karuppu,0.04,0.0,0.007446091362324894,0.19599303135888502,0.003967190593579837
Deepa Iyer,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Gibran Osman,0.04,0.0,0.007446091362324894,0.19599303135888502,0.003967190593579837
